"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",747.194195359907,-0.350702962281389,0.168242083225415,-2.08451390732904,0.037113446527486,0.163017154193381
"ENSG00000000005",0,NA,NA,NA,NA,NA
"ENSG00000000419",520.134160051965,0.206107283859602,0.10104150444926,2.03982793984528,0.0413674659616148,0.175936611061122
"ENSG00000000457",322.664843927049,0.0245270113332321,0.145133863746689,0.16899578568404,0.865799956260455,0.96168245966737
"ENSG00000000460",87.682625164828,-0.147142630021683,0.25699544204698,-0.572549570722676,0.566949713030669,0.815805192481519
"ENSG00000000938",0.319166568913118,-1.73228897394308,3.49360097648095,-0.495846258804286,0.620002884826012,NA
"ENSG00000000971",5760.14836162122,0.459281901677216,0.234317862417665,1.96008062269943,0.0499863677075726,0.200967225625481
"ENSG00000001036",2025.39179382894,-0.228243775347845,0.124998993764412,-1.82596490158969,0.0678555488820828,0.246740045094632
"ENSG00000001084",652.173308358757,-0.253030788212287,0.202576353336743,-1.24906379271066,0.211641742283329,0.495029218051122
"ENSG00000001167",411.684395281717,-0.533733422545991,0.228792179434635,-2.33283071066892,0.0196570321507377,0.1052424935936
"ENSG00000001460",201.336569053853,-0.123557684163937,0.161101482332549,-0.766955600749141,0.443107913936243,0.730575527744415
"ENSG00000001461",2918.77668675377,0.00210155962293197,0.288715698829656,0.00727899324993722,0.994192254953744,0.998014297161427
"ENSG00000001497",539.501702816792,-0.0573209155426031,0.109328548105937,-0.524299613739135,0.600070165508683,0.837567132880649
"ENSG00000001561",115.914401421895,0.286817003150608,0.716013999282037,0.400574574572852,0.688733368113473,0.887129346834373
"ENSG00000001617",604.297522477042,-0.192202823229574,0.198689546634748,-0.967352467630826,0.333367863123291,0.638988083768851
"ENSG00000001626",9.6724145714589,-0.286393736030514,0.586213534248083,-0.488548488389751,0.625161389354518,NA
"ENSG00000001629",1826.75812135437,-0.246091168768388,0.190393749931733,-1.29253806312773,0.196170873159238,0.474424555972318
"ENSG00000001630",979.608386428197,-0.179753409132619,0.121371315352241,-1.48102052458558,0.138601104267847,0.386398734460776
