NP_034603.2	XP_002663941.1	44.444	90	46	1	644	733	295	380	5.62e-20	94.4
NP_034603.2	XP_021335885.1	41.667	96	46	2	644	733	295	386	4.10e-18	88.6
NP_034603.2	XP_021329952.2	43.243	74	41	1	660	733	217	289	2.04e-09	61.2
NP_036084.2	XP_073799717.1	28.230	209	140	6	17	220	1	204	6.11e-10	58.5
NP_036084.2	NP_001156326.1	25.854	205	143	3	27	224	24	226	4.62e-09	56.2
NP_036084.2	XP_073785644.1	24.265	136	97	1	87	216	18	153	2.06e-07	50.4
NP_036084.2	XP_068079900.1	26.573	143	98	3	87	224	112	252	2.85e-06	48.5
NP_036084.2	XP_073794745.1	25.532	141	99	3	87	224	26	163	4.16e-06	47.0
NP_036084.2	XP_073794740.1	25.532	141	99	3	87	224	26	163	4.16e-06	47.0
NP_036084.2	XP_073794731.1	25.532	141	99	3	87	224	26	163	4.16e-06	47.0
NP_036084.2	XP_073794725.1	25.532	141	99	3	87	224	26	163	4.16e-06	47.0
NP_036084.2	XP_073794721.1	25.532	141	99	3	87	224	26	163	4.16e-06	47.0
NP_036084.2	XP_073788826.1	31.915	47	28	1	134	180	868	910	5.7	30.0
NP_036084.2	XP_017207980.1	31.915	47	28	1	134	180	868	910	5.7	30.0
NP_036084.2	XP_005160560.1	31.915	47	28	1	134	180	878	920	5.8	29.6
NP_036084.2	XP_005160559.1	31.915	47	28	1	134	180	878	920	5.8	29.6
NP_001186261.1	XP_001331783.2	50.000	216	105	1	11	223	44	259	5.75e-78	236
NP_001186261.1	XP_073787737.1	42.918	233	119	3	4	223	1	232	4.79e-61	192
NP_001186261.1	NP_001017864.1	41.284	218	122	4	11	225	43	257	3.05e-57	183
NP_001186261.1	XP_073778513.1	34.545	55	35	1	46	99	584	638	8.4	29.3
NP_001186261.1	XP_073778511.1	34.545	55	35	1	46	99	735	789	8.9	29.3
NP_660135.2	XP_001344010.4	25.234	107	56	5	98	196	130	220	5.3	31.2
NP_001191842.1	XP_073786691.1	42.857	35	18	1	19	51	1226	1260	0.54	31.2
NP_001191842.1	XP_073786689.1	42.857	35	18	1	19	51	1236	1270	0.55	31.2
NP_001191842.1	XP_073786687.1	42.857	35	18	1	19	51	1278	1312	0.55	31.2
NP_001191842.1	XP_073786684.1	42.857	35	18	1	19	51	1278	1312	0.55	31.2
NP_001191842.1	XP_073786678.1	42.857	35	18	1	19	51	1310	1344	0.55	31.2
NP_001191842.1	XP_073786675.1	42.857	35	18	1	19	51	1310	1344	0.55	31.2
NP_001191842.1	XP_073786671.1	42.857	35	18	1	19	51	1310	1344	0.55	31.2
NP_001191842.1	XP_073786667.1	42.857	35	18	1	19	51	1310	1344	0.55	31.2
NP_001191842.1	XP_073786664.1	42.857	35	18	1	19	51	1337	1371	0.55	31.2
NP_001191842.1	XP_073786661.1	42.857	35	18	1	19	51	1338	1372	0.55	31.2
NP_001191842.1	XP_073786660.1	42.857	35	18	1	19	51	1320	1354	0.55	31.2
